,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13
V1,2,2,5,4,3,6,6,7,2,7,7,6,3
V1,2,2,2,6,5,5,4,5,5,6,2,4,3
V1,2,1,4,7,7,5,7,7,5,6,5,5,5
V1,2,2,5,5,6,5,6,5,6,7,4,5,5
V1,2,1,3,6,6,6,7,5,4,7,4,7,4
V1,2,1,3,4,3,6,6,4,4,6,5,7,5
V1,2,1,2,7,7,7,5,5,4,5,5,2,2
V1,2,2,1,5,5,5,5,5,3,7,7,7,7
V1,2,1,1,1,1,1,1,1,2,2,3,7,7
V1,2,1,2,4,3,3,5,5,5,5,5,6,6
V1,2,2,4,6,6,6,6,5,6,6,6,6,6
V1,2,1,5,6,7,7,7,7,7,6,7,7,7
V1,2,1,3,5,4,4,5,5,4,7,7,7,6
V1,2,1,2,3,6,2,2,3,2,4,6,7,7
V1,2,1,1,7,7,6,7,6,5,5,5,5,5
V1,2,1,1,5,4,1,1,1,2,5,6,5,6
V1,3,2,6,7,6,6,7,7,7,7,7,5,5
V1,3,2,2,4,4,7,7,5,5,6,5,6,5
V1,2,2,6,6,6,5,5,6,6,5,5,4,4
V1,2,2,6,5,5,5,6,6,5,5,5,3,2
V2,2,2,5,4,3,4,3,5,3,6,6,6,6
V2,2,2,2,5,4,5,5,6,6,5,3,3,3
V2,2,1,4,7,7,5,5,5,5,5,5,5,5
V2,2,2,5,5,4,6,7,6,5,6,4,6,6
V2,2,1,3,6,6,6,6,6,6,6,6,5,4
V2,2,1,3,5,3,6,7,5,4,6,6,5,7
V2,2,1,2,6,4,7,7,5,3,7,7,1,4
V2,2,2,1,5,5,5,5,5,3,6,6,7,6
V2,2,1,1,1,1,1,1,1,1,1,5,7,7
V2,2,1,3,2,2,4,4,2,3,5,3,5,5
V2,1,2,5,7,7,7,5,6,6,6,6,6,5
V2,2,1,5,7,7,7,7,7,7,6,6,7,7
V2,2,1,3,5,5,4,4,4,5,6,6,5,6
V2,2,1,2,2,5,4,3,4,5,5,7,5,5
V2,2,1,1,7,6,6,7,5,5,5,4,5,5
V2,2,1,1,5,5,1,1,3,5,7,7,7,7
V2,3,1,6,7,6,6,7,6,7,6,6,6,5
V2,3,2,2,4,6,6,6,6,5,6,7,6,7
V2,2,2,6,6,7,6,7,6,5,6,5,7,5
V2,2,2,6,5,5,5,6,6,5,5,5,6,5
V3,2,1,4,7,7,5,5,5,5,5,5,5,5
V3,2,2,5,5,5,5,5,6,6,6,5,6,5
V3,2,2,2,5,5,5,5,5,5,5,5,3,5
V3,2,2,5,4,3,3,4,5,3,6,6,7,6
V3,2,1,3,6,6,6,6,5,6,5,4,7,2
V3,2,1,3,5,4,6,7,4,4,6,4,6,7
V3,2,1,2,7,7,7,6,5,3,7,7,7,3
V3,2,2,1,5,5,5,5,5,3,7,7,7,6
V3,2,1,1,2,2,2,7,7,6,7,7,7,7
V3,2,1,2,2,2,5,5,4,2,2,5,5,6
V3,1,1,6,5,5,7,7,7,7,7,4,5,6
V3,1,2,6,4,7,5,7,7,7,7,5,7,5
V3,2,1,3,6,5,5,4,5,3,6,7,2,4
V3,2,1,2,4,3,6,7,7,5,5,6,6,6
V3,2,1,1,7,5,5,7,5,4,7,1,4,4
V3,2,1,1,5,5,1,1,1,5,6,7,7,7
V3,3,1,6,7,6,6,6,5,7,7,7,7,6
V3,3,2,2,4,5,7,5,7,7,6,5,7,6
V3,2,2,6,7,6,5,5,6,6,5,6,7,6
V3,2,2,6,5,5,5,6,6,5,6,5,7,6
V4,2,2,5,4,2,4,5,6,2,6,7,3,4
V4,2,2,2,5,4,5,5,6,6,5,3,2,3
V4,2,1,4,7,7,5,5,5,5,5,5,3,2
V4,2,2,5,4,4,6,6,5,2,7,7,2,1
V4,2,1,3,6,6,6,6,6,6,6,6,2,1
V4,2,1,3,4,3,4,6,7,4,6,6,5,6
V4,2,1,2,7,7,7,5,5,5,5,5,2,3
V4,2,1,2,7,7,3,6,5,6,7,6,4,2
V4,2,1,2,5,5,3,3,3,3,5,5,3,3
V4,1,2,6,7,7,5,7,7,7,7,5,3,4
V4,1,1,6,6,6,7,7,7,7,7,7,2,3
V4,2,1,3,5,5,4,4,5,4,6,7,3,3
V4,2,1,2,4,5,5,6,5,6,5,5,6,4
V4,2,1,1,7,5,5,7,5,4,5,4,4,2
V4,2,1,1,5,4,1,1,1,5,6,6,5,3
V4,3,1,6,7,6,7,7,6,5,7,6,1,1
V4,2,1,2,7,5,2,6,2,2,7,2,3,5
V4,3,2,2,4,3,5,7,5,5,6,5,5,4
V4,2,2,6,7,7,4,5,6,5,7,5,3,1
V4,2,2,6,4,4,5,6,6,5,6,4,1,2
